profile,ate_days,se,variance,ci_low,ci_high
HE11,14.094953786000165,0.17872167744404174,0.0319414379884121,13.744665734953262,14.445241837047071
HE,5.444617622013238,0.2767953110261798,0.07661564420607962,4.902108781312364,5.987126462714112
DZ11,5.3322573378889935,0.2490669498598917,0.0620343455125098,4.844095086424362,5.820419589353624
EB10,5.323205018585377,0.1907880546094451,0.0364000817816566,4.949267302870404,5.697142734300351
WJ,4.293503249202313,0.31955949042238424,0.10211826791901389,3.6671781570564668,4.919828341348159
HC,3.2417075317740602,0.2234263120481597,0.049919316915441624,2.80380000696106,3.6796150565870605
AA,3.087103039719513,0.2597709732345261,0.06748095853521287,2.5779612879509237,3.5962447914881026
unknown,2.5312703614653507,0.19967705266958063,0.03987092536281048,2.139910529693865,2.922630193236836
HD,2.3777911799834173,0.3134685392327568,0.0982625250887184,1.763404132800833,2.9921782271660016
FD11,2.3665441117368733,0.17415981941366757,0.030331642698201298,2.0251971381320852,2.707891085341662
AA26,2.284241551393435,0.2235126524073933,0.049957905786188216,1.8461648025859247,2.7223183002009455
LA04,1.8486511526130056,0.22595245441981246,0.05105451165833743,1.405792479731745,2.2915098254942663
YQ50,1.6019238657575912,0.23203186654847868,0.05383878709397102,1.147149764056969,2.0566979674582138
EB14,0.9240109356993016,0.16451898612390486,0.0270664967952376,0.6015596481234033,1.2464622232751998
EB,0.7554781755294755,0.1541698573724548,0.02376834492224306,0.4533108075777871,1.0576455434811638
DZ,0.6158600673885594,0.22437571804393766,0.05034446284773261,0.17609174101712774,1.0556283937599908
KC,0.5372489939809775,0.16733487105095682,0.028000959069640348,0.2092786733634478,0.8652193145985071
LA,0.44276144484489305,0.26994802787618233,0.07287193775424011,-0.08632696749003882,0.9718498571798249
EB07,0.2617047489893053,0.19546869951627752,0.03820801249058479,-0.12140686216748053,0.6448163601460911
JD07,0.2528455933073609,0.22532692117013983,0.05077222140401441,-0.18878705693340914,0.6944782435481309
GC17,0.2331251111980362,0.23783787284112407,0.0565668537575907,-0.233028553730184,0.6992787761262564
WH,0.148297736194296,0.2802533277953932,0.0785419277403921,-0.40098869283217276,0.6975841652207647
LB38,-0.20480763617096953,0.17629804167521518,0.031080999498515907,-0.5503454483993327,0.1407301760573937
MB,-0.31338556912815535,0.1279012600429423,0.01635873232057235,-0.5640674323896142,-0.06270370586669655
CB,-0.31914438573047255,0.20344461368994873,0.041389710839452476,-0.7178885014114365,0.07959972995049142
FD,-0.4195278653280385,0.22588053043614928,0.051022014030116164,-0.8622455697916946,0.023189839135617618
LB,-0.7987524556011703,0.17320843475741304,0.03000116187111301,-1.1382347495442557,-0.459270161658085
FD10,-0.9329485190310414,0.23394726712360112,0.05473132379460158,-1.3914767368748713,-0.4744203011872117
FD02,-0.9387615659462216,0.1197123308714456,0.014331042162674468,-1.1733934229595973,-0.7041297089328459
DZ65,-1.161567692566034,0.12614251077273042,0.01591193302404841,-1.4088024706000413,-0.9143329145320267
FD03,-2.339586679383686,0.20004448192048846,0.04001779474683664,-2.731666659253817,-1.9475066995135544
SA04,-2.5845945797732286,0.141986799845997,0.020160251330507212,-2.86288359375148,-2.306305565794977
DZ19,-2.5931164854545896,0.11332591979485815,0.012842764097350622,-2.815231206767387,-2.371001764141793
EB12,-3.2802079416864895,0.093003563504917,0.008649662824613128,-3.4624915765900113,-3.0979243067829687
FD05,-4.5835641760512384,0.08401163507888329,0.007057954828627453,-4.748223955088171,-4.418904397014305
WH52,-6.37239322236781,0.04779197406456368,0.002284072784987928,-6.466063770284427,-6.278722674451194
