profile,proportion
unknown,0.28016514
FD10,0.10720631
DZ,0.03903572
AA,0.034848318
WH,0.034575548
EB,0.029849976
DZ11,0.029274946
LB,0.022448303
LA,0.019617384
GC17,0.018784327
HE,0.01761215
EB14,0.01758266
AA26,0.014766486
HE11,0.014670648
JD07,0.014663275
MB,0.014567437
EB12,0.014419993
HD,0.014405249
WJ,0.013815474
WH52,0.013365771
LB38,0.013247816
SA04,0.01315935
YQ50,0.013137233
EB10,0.012960301
FD,0.012739135
DZ19,0.012665413
EB07,0.012377898
FD02,0.012186222
DZ65,0.011500608
FD11,0.011014044
FD03,0.010770762
LA04,0.01056434
CB,0.010343175
FD05,0.010262081
KC,0.010254709
HC,0.009893472
